"307_rl_02","307_rl","307B - KUT Confirmation","KUT Confirmation","PDF","F0013001-RL-KUT Confirmation v0.1"
"308_rl","300_rl","308 - User Acceptance Test","UAT Script","DOC","F0013001-RL-UAT v0.1"
"309_rl","300_rl","309 - User Manual Guidance","User Manual Guidance","DOC","F0013001-RL-User Manual Guidance v0.1"
"310_rl","300_rl","310 - Sign Off Document","Realization Phase Sign Off ","PDF","F0013001-RL-Realization Sign Off v0.1"
"311_rl","300_rl","311 - Others","Others","*","*"
"400_fp","0","400 - Final Preparation","Final Preparation","",""
"401_fp","400_fp","401 - End User Training","End User Training","",""
"401_fp_01","401_fp","401A - EUT Agenda","EUT Agenda","XLS","F0013001-PP-EUT Agenda v0.1"
"401_fp_02","401_fp","401B - EUT Attendance","EUT Attendance","XLS","F0013001-PP-EUT Attendance v0.1"
"402_fp","400_fp","402 - Master Data Preparation","Master Data Preparation","XLS","F0013001-PP-Master Data Preparation v0.1"
"403_fp","400_fp","403 - Cutover","Cutover","XLS","F0013001-PP-Cutover v0.1"
"404_fp","400_fp","404 - Sign Off Document","Final Preparation Phase Sign Off ","PDF","F0013001-PP-Final Preparation Sign Off v0.1"
"401_fp","400_fp","405 - Others","Others","*","*"
"500_gl","0","500 - Go Live","Go Live","",""
"501_gl","500_gl","501 - Transaction Checklist","Transaction Checklist","XLS","F0013001-GL-Transaction Checklist v0.1"
"502_gl","500_gl","502 - Closure ","Closure Meeting","PPT","F0013001-GL-Closure Meeting v0.1"
"503_gl","500_gl","503 - Sign Off Document","Project Closure","PDF","F0013001-GL-Project Closure v0.1"
"504_gl","500_gl","504 - Others","Others","*","*"
"600_ho","0","600 - Handover","Handover","",""
"601_ho","600_ho","601 - Handover Checklist","Handover Checklist","XLS","F0013001-HO-Handover Checklist v0.1" 
